user_phone,item_barcode
+7-(999)-481-72-38,4030674002440
+7-(999)-481-72-38,4601907000818
+7-(909)-698-73-02,4603988011868
+7-(909)-698-73-02,4602884001799
+7-(909)-698-73-02,4602505001177
+7-(933)-614-54-78,4607005891372
+7-(933)-614-54-78,8901086182333
+7-(933)-783-83-11,8901812220018
+7-(909)-404-39-64,4603191000239
+7-(999)-486-37-42,5903060602762
+7-(999)-486-37-42,4607005891372
+7-(909)-735-68-94,8901086182296
+7-(909)-735-68-94,4602676006063
+7-(909)-735-68-94,4607005895165
+7-(926)-802-51-55,4602884000747
+7-(909)-907-09-92,4605453002104
+7-(909)-222-62-61,4602884000747
+7-(937)-535-04-07,8901086181923
+7-(964)-903-40-88,4603191000239
+7-(968)-851-36-31,4607027763510
+7-(925)-573-65-21,4810133000602
+7-(909)-306-84-66,8901086182241
+7-(999)-864-50-66,24605453000531
+7-(964)-576-90-54,24605453000531
+7-(964)-576-90-54,8901086181923
+7-(909)-023-07-21,4602676006063
+7-(909)-023-07-21,8901086181947
+7-(999)-513-49-12,4630008130025
+7-(935)-611-37-83,8901086182340
+7-(935)-611-37-83,4030674002440
+7-(935)-611-37-83,4602884003120
+7-(909)-185-52-82,4606486000433
+7-(909)-185-52-82,4607024942321
+7-(909)-185-52-82,5903060004818
+7-(938)-473-90-49,5903060602755
+7-(909)-579-76-23,4602824020965
+7-(909)-579-76-23,4603276005746
+7-(909)-579-76-23,8901086181992
+7-(922)-288-88-32,8901086182302
+7-(910)-994-90-69,4260085520268
+7-(910)-994-90-69,4603191000239
+7-(910)-994-90-69,4670009600240
+7-(968)-856-97-00,4620011581525
+7-(968)-856-97-00,4602884003144
+7-(938)-296-78-93,4603191000239
+7-(938)-296-78-93,5903060602786
+7-(999)-978-48-48,4602824020965
+7-(999)-978-48-48,4607027763558
+7-(999)-978-48-48,6432100002525
+7-(913)-207-92-53,4607027763466
+7-(913)-207-92-53,4607005891372
+7-(913)-207-92-53,4602676003369
+7-(968)-738-57-48,4607002420124
+7-(968)-738-57-48,4607005899521
+7-(968)-809-65-26,8901086181954
+7-(909)-847-12-96,8002660000583
+7-(909)-847-12-96,8901086182333
+7-(909)-847-12-96,4603182000200
+7-(909)-662-55-71,4607024942321
+7-(909)-662-55-71,4607005890795
+7-(910)-737-55-69,8901086182036
+7-(910)-737-55-69,24605453000531
+7-(910)-737-55-69,4607027763558
+7-(911)-831-91-12,4602210001288
+7-(911)-831-91-12,4606486004608
+7-(911)-831-91-12,4602884001799
+7-(999)-361-28-26,4607024944349
+7-(937)-199-88-67,7290008097642
+7-(925)-538-64-16,4607027763466
+7-(963)-255-72-14,4260085520251
+7-(963)-255-72-14,4603182002334
+7-(968)-541-14-99,4820044110826
+7-(968)-541-14-99,4607005895165
+7-(968)-541-14-99,8901086182272
+7-(922)-627-50-20,8901086182326
+7-(922)-627-50-20,4607005895165
+7-(922)-627-50-20,4607005899521
+7-(988)-659-71-24,5903060602786
+7-(988)-659-71-24,4607005895165
+7-(988)-659-71-24,4603988011875
+7-(909)-510-07-01,4601907001242
+7-(909)-510-07-01,8901086181954
+7-(945)-774-67-22,5903060602731
+7-(945)-774-67-22,4602884004493
+7-(945)-774-67-22,4607027763480
+7-(968)-362-37-07,4602884004493
+7-(930)-993-29-03,4602884003137
+7-(930)-993-29-03,8901086182241
+7-(930)-993-29-03,4607005895165
+7-(964)-273-83-32,4607159610089
+7-(922)-293-45-90,4602884003144
+7-(999)-001-42-69,4606486000433
+7-(932)-168-80-39,5903060602748
+7-(932)-168-80-39,5903060602755
+7-(932)-168-80-39,4602505001177
+7-(912)-816-21-19,4820044110826
+7-(927)-412-02-04,6432100002525
+7-(927)-412-02-04,8901086182005
+7-(927)-412-02-04,4670009600240
+7-(966)-262-24-23,5997001362686
+7-(960)-182-87-38,4607024944349
+7-(960)-182-87-38,4603182002327
+7-(960)-182-87-38,7290008097642
+7-(909)-103-22-16,4603761000010
+7-(968)-401-61-80,4603466000520
+7-(968)-401-61-80,5903060004818
+7-(968)-401-61-80,4607024942321
+7-(963)-093-77-23,8901086182265
+7-(963)-093-77-23,4601808009057
+7-(963)-093-77-23,4680013243258
+7-(968)-132-73-03,4620011581525
+7-(968)-132-73-03,8901086181992
+7-(961)-311-29-40,5903060602755
+7-(961)-311-29-40,4607003669638
+7-(922)-081-91-16,4602884003120
